periodo,IED,TRM,IPC,IPI,ISE
2018-11-01,-4.277334,109.2034,0.11,2.6,2.965667
2018-12-01,46.23046,24.51663,0.3,-13.1,1.009123
2019-01-01,-13.85036,-53.3629,0.6,-11.9,-14.66619
2019-02-01,-38.05659,-49.34949,0.58,10.8,-0.660632
2019-03-01,53.02632,12.84562,0.44,5.7,3.931363
2019-04-01,115.3669,27.08081,0.5,15.8,-1.483499
2019-05-01,-117.6435,148.7295,0.32,-13.9,6.35563
2019-06-01,-17.75646,-43.97752,0.27,-11.4,-2.031644
2019-07-01,37.61746,-53.91668,0.23,18.2,1.060348
2019-08-01,-98.90712,204.1287,0.09,-0.6,3.916449
2019-09-01,17.37209,-11.27203,0.23,2.4,-2.1602
2019-10-01,44.37211,33.85461,0.17,-0.8,5.200017
2019-11-01,314.9129,-31.83861,0.11,-4.7,2.182704
2019-12-01,-286.3565,-23.42235,0.26,-4.2,2.065819
2020-01-01,174.192,-66.86129,0.44,-12.4,-13.85272
2020-02-01,-231.8216,99.8634,0.7,12.8,-0.370974
2020-03-01,60.14493,465.9956,0.59,-15.9,-8.28061
2020-04-01,-125.8236,100.3449,0.17,-33.6,-14.76207
2020-05-01,-32.87234,-119.2017,-0.34,6.5,7.96191
2020-06-01,-20.16125,-156.5873,-0.39,16.7,3.863216
2020-07-01,23.86455,-43.73756,0.0,19.1,3.142495
2020-08-01,-28.43916,125.159,-0.01,-3.7,3.651639
2020-09-01,-9.500722,-32.81047,0.33,15.1,2.201241
2020-10-01,18.99918,83.57305,-0.06,-0.5,6.983702
2020-11-01,-13.26732,-148.1617,-0.15,-0.6,3.085093
2020-12-01,99.57977,-219.4996,0.4,-1.2,2.679557
2021-01-01,-16.95946,25.19452,0.43,-16.8,-14.43361
2021-02-01,-47.6796,63.18267,0.67,16.0,0.807357
2021-03-01,45.10622,58.2641,0.54,14.1,4.880128
2021-04-01,-6.721913,38.00761,0.64,9.0,-3.898656
2021-05-01,-23.20052,84.89013,1.08,-57.1,-0.926618
2021-06-01,12.70743,-50.62346,-0.06,35.3,6.582861
2021-07-01,43.6137,144.3754,0.36,22.1,2.066551
2021-08-01,-54.46323,51.76548,0.48,0.5,2.441166
2021-09-01,46.67174,-59.64588,0.42,5.7,4.142136
2021-10-01,-14.16093,-48.15347,0.02,-9.4,3.603243
2021-11-01,16.07974,129.5168,0.54,5.4,4.108033
2021-12-01,-10.29414,60.23255,0.81,-2.6,3.364487
2022-01-01,107.3419,36.48258,1.85,-16.9,-18.66084
2022-02-01,-130.0166,-63.78041,1.85,11.7,1.436153
2022-03-01,30.4578,-128.6647,1.15,18.3,4.150405
2022-04-01,359.94,-14.18897,1.45,12.7,0.381979
2022-05-01,-294.293,226.0974,0.99,-21.9,4.070501
2022-06-01,32.79704,-88.31269,0.61,-4.8,-1.782693
2022-07-01,,,,,
2022-08-01,,,,,
2022-09-01,,,,,
2022-10-01,,,,,
2022-11-01,,,,,
2022-12-01,,,,,
2023-01-01,,,,,
2023-02-01,,,,,
2023-03-01,,,,,
2023-04-01,,,,,
2023-05-01,,,,,
2023-06-01,,,,,
2023-07-01,,,,,
2023-08-01,,,,,
2023-09-01,,,,,
2023-10-01,,,,,
2023-11-01,,,,,
